method,x0_x,x0_y,x_final_x,x_final_y,f_final,nit,grad_norm,success,u,A,g_prime
BFGS,-60,20,2.4416581651573893e-06,-1869.0000477281583,-3.1405228482624366,33,5.4854879384982785e-06,True,-1868.0000452865002,6.121882366874545e-10,5.722420266580758e-07
BFGS,-60,30,-5.490578482046943e-06,-562.5674550447884,-3.1380406598270794,21,7.85050718833995e-06,True,-561.5674605353669,2.240755406606607e-08,6.308367873988238e-06
BFGS,-60,40,-3.1694500667107384e-06,-2154.1537759981825,-3.1406644298228565,28,5.92378573866163e-06,True,-2153.1537791676324,3.9987898474899876e-10,4.307998492837758e-07
BFGS,-60,50,2.728370453915438e-06,-42585.62457321571,-3.1415456899287584,37,5.457843811624492e-06,True,-42584.62457048734,5.1791159448974503e-14,1.1027923804755663e-09
BFGS,-60,60,-1.951147230856686e-06,-3496.18711781452,-3.141020683534044,31,3.74229618537471e-06,True,-3495.1871197656674,9.355997098067581e-11,1.6357489580130706e-07
BFGS,-60,70,-1.49618594856771e-07,-52928.885794224465,-3.1415548673964997,34,2.9852414513041825e-07,True,-52927.88579437408,2.697549545361743e-14,7.138982014642048e-10
BFGS,-60,80,1.1799827287197406e-06,-15057.956062160829,-3.141459837846282,34,2.368801888487959e-06,True,-15056.956060980847,1.171436293308322e-12,8.820010751857134e-09
BFGS,-60,90,-4.414104669474045e-06,-3063.8331526573816,-3.140939982889376,34,8.617852198826749e-06,True,-3062.8331570714863,1.3901209291172983e-10,2.1298955234871967e-07
BFGS,-60,100,-4.814833974313529e-06,-716.1837193544652,-3.138802011899029,28,6.932651511888911e-06,True,-715.1837241692992,1.0866435073948272e-08,3.89385498842732e-06
BFGS,-50,-100,-2.608916645643656e-06,-20134273.615011282,-3.14159255424988,58,5.217833286353779e-06,True,-20134272.61501389,4.900631649414724e-22,4.9335330483013645e-15
BFGS,-50,-90,3.2130730579106983e-06,-1632903.3770756526,-3.1415914287676308,49,6.426146865903461e-06,True,-1632902.3770724395,9.187093380962054e-19,7.500820200383569e-13
BFGS,-50,-80,3.128824008038399e-08,-15510791.009939952,-3.1415925246473075,57,6.257648847385073e-08,True,-15510790.00993992,1.0719094767392894e-21,8.313082205615757e-15
BFGS,-50,-70,5.264154721906832e-07,-4014103.799122745,-3.141592155346359,52,1.0528310685044957e-06,True,-4014102.799122219,6.184349617390733e-20,1.241231219321707e-13
